title,排名,国家,州省,城市,性质,成立年份,宗教信仰,学生人数,学校分类,网址
曼彻斯特大学 ,QS世界：8(30)；Times国内：26,英国,英格兰,曼彻斯特,公立，男女合校,2004年（最早可追溯至1824年）*(1),无,"37,925（含全日制与非全日制）*(3)",综合性大学,www.manchester.ac.uk
诺森比亚大学 ,62,英国,英格兰,纽卡斯尔,公立，男女合校,1894年,无,"29,300",综合性大学,www.northumbria.ac.uk
哈尔滨工程大学 ,,,,,,,,,,
北京工业大学 ,,,,,,,,,,
奥格斯堡大学 ,,德国,,奥格斯堡,公立，男女合校,1511年*(1),无,"18,000(2013年)*(4)",综合性大学，可授予博士学位,www.uni-augsburg.de
孟菲斯大学 ,RNP,美国,田纳西州,孟菲斯,公立，男女合校,1912,无,"20,585",综合性大学,www.memphis.edu
郑州大学 ,,,,,,,,,,
北京邮电大学 ,,,,,,,,,,
查理斯特大学 ,ERA：25*(2),澳大利亚,新南威尔士州,悉尼,公立，男女合校,1989年*(1),无,"21,341*(1)",二星级大学,www.csu.edu.au
南十字星大学 ,ERA：10*(1),澳大利亚,"新南威尔士州,*(2)",利斯莫尔*(2),公立，男女合校*(2),1994年*(2),无*(2),"14,476*(3)",澳洲地区大学联盟*(2),
南京师范大学 ,,,,,,,,,,
托莱多大学 ,RNP,美国,俄亥俄州,托莱多,公立，男女合校,1872,无,"20,377",综合性大学,www.utoledo.edu
新泽西理工学院 ,140*(4),美国,新泽西州,纽华克,公立，男女合校,1881年*(1),无,"12,125",全国性大学,www.njit.edu
里贾纳大学 ,10,加拿大,萨斯喀彻温省,里贾纳,公立，男女合校,1911年,无,"12,270",综合类大学,www.uregina.ca
旧金山州立大学 ,-,美国,加利福尼亚州,旧金山,公立，男女合校,1899 *(2),无,"30,256","西部,地方性大学",www.sfsu.edu
新布伦瑞克大学 ,4,加拿大,新布伦瑞克省,弗雷德里克顿、圣约翰,公立，男女合校,1785年,无,"10,638",综合类大学,www.unb.ca
中国石油大学 ,,,,,,,,,,
华北电力大学 ,,,,,,,,,,
西北农林科技大学 ,,,,,,,,,,
波特兰州立大学 ,RNP,美国,俄勒冈州,波特兰,公立，男女合校,1946,无,"27,488",综合性大学,www.pdx.edu
阿尔斯特大学 ,73,英国,北爱尔兰,贝尔法斯特,公立，男女合校,1968年,无,"26,560",综合性大学,www.ulster.ac.uk
罗切斯特理工学院 ,97*(1),美国*(2),"纽约州,*(2)","罗切斯特,*(2)",私立，男女合校*(2),1829年*(2),无*(2),"16,640*(3)",综合性大学,www.rit.edu
合肥工业大学 ,,,,,,,,,,
兽医 ,,,,,,,,,,
克雷顿大学 ,中西部第1*(6),美国,内布拉斯加州,奥马哈,私立，男女合校,1878年,天主,"8,435*(7)",地方性大学,www.creighton.edu
北卡罗来纳大学夏洛特分校 ,198,美国,北卡罗来纳州,夏洛特,公立，男女合校,1946,无,"27,983",综合性大学,www.uncc.edu
南京理工大学 ,,,,,,,,,,
密苏里科技大学 ,165*(2),美国,密苏里州,罗拉,公立，男女合校,1885年*(1),无,"8,889",全国性大学,www.mst.edu*(6)
布莱顿大学 ,76,英国,英格兰,布莱顿,公立，男女合校,1858年,无,"22,075",综合性大学,www.brighton.ac.uk
路易斯安那大学拉法叶分校 ,RNP,美国,路易斯安那州,拉法叶,公立，男女合校,1898,无,"17,508",综合性大学,www.louisiana.edu
堪培拉大学 ,ERA：29*(1),澳大利亚*(2),首都特区*(2),"堪培拉,*(2)",公立，男女合校*(2),1967*(2),无,"16,429*(4)",三星级大学*(2),www.canberra.edu.au
外科 ,,,,,,,,,,
江南大学 ,,,,,,,,,,
西北大学（中国） ,,,,,,,,,,
西北工业大学 ,,,,,,,,,,
华中农业大学 ,,,,,,,,,,
霍华德大学 ,110,美国,"哥伦比亚,特区",华盛顿,私立，男女合校,1867,无,"10,002",综合性大学,www2.howard.edu
福州大学 ,,,,,,,,,,
伦敦 ,,,,,,,,,,
密西西比州立大学 ,171,美国,密西西比州,斯塔克维尔,公立，男女合校,1878,无,"20,873",综合性大学,www.msstate.edu
东北大学（中国） ,,,,,,,,,,
立命馆大学 ,,,,,,,,,,
迈阿密大学（俄亥俄） ,78*(4),美国,俄亥俄州,牛津,公立，男女合校,1809*(2),无,"18,907",全国性大学,www.miamioh.edu
西南大学（中国） ,,,,,,,,,,
南京航空航天大学 ,,,,,,,,,,
中国海洋大学 ,,,,,,,,,,
内华达大学拉斯维加斯分校 ,RNP,美国,内华达州,拉斯维加斯,公立，男女合校,1957,无,"28,605",综合性大学,www.unlv.edu
查尔斯达尔文大学 ,ERA：22*(2),澳大利亚,北领地,"达尔文,、,帕默斯顿,、爱丽丝斯普林斯、,凯瑟琳,、,纽兰拜",公立，男女合校,2004年*(1),无,"22,719（含TAFE学生）*(3)",一星级大学,www.cdu.edu.au
克兰菲尔德大学 ,,,,,,,,,,
罗德岛大学 ,156*(3),美国,罗德岛州,金斯敦,公立，男女合校,1892年*(1),无,"16,613",全国性大学,www.uri.edu*(5)
纽约市立学院 ,北部第56*(2),美国,纽约州,纽约市,公立，男女合校,1847年*(1),无,"15,464","北部,地方性大学",www.ccny.cuny.edu
经济学 ,,,,,,,,,,
北京化工大学 ,,,,,,,,,,
阿斯顿大学 ,29,英国,英格兰,伯明翰,公立，男女合校,1895年,无,"12,205",综合性大学,www.aston.ac.uk
密歇根理工大学 ,124*(3),美国,密歇根州,霍顿,公立，男女合校,1885,无,"7,242",全国性大学,www.mtu.edu*(4)
内华达大学雷诺分校 ,202*(4),美国,内华达州,雷诺,公立，男女合校,1874年*(1),无,"20,880",全国性大学,www.unr.edu
纽约州立大学宾汉姆顿分校 ,87*(3),美国,纽约州,宾汉姆顿,公立，男女合校,1946*(1),无,"16,913",全国性大学,www.binghamton.edu
阿克伦大学 ,RNP,美国,俄亥俄州,阿克伦,公立，男女合校,1870,无,"23,046",综合性大学,www.uakron.edu
爱达荷大学 ,171*(5),美国,爱达荷州,莫斯科,公立，男女合校,1889年*(1),无,"11,372*(3)",全国性大学,www.uidaho.edu
基尔大学 ,44,英国,英格兰,基尔,公立，男女合校,1949年,无,"10,655",综合性大学,www.keele.ac.uk
奥登堡大学 ,,德国,,奥登堡,公立，男女合校,1973年*(1),无,"12,707(2014年)*(5)",综合性大学，可授予博士学位,www.uni-oldenburg.de
怀卡托大学 ,,新西兰,,汉密尔顿、陶朗加,公立，男女合校,1964年,无,"12,000",综合性大学,www.waikato.ac.nz
俄亥俄大学 ,151,美国,俄亥俄州,阿森斯,公立，男女合校,1804,无,"26,492",综合性大学,www.ohio.edu
加州大学默塞德分校 ,165*(2),美国,加利福尼亚州,默塞德,公立，男女合校,2005*(1),无,"6,685*(2)",综合性大学,www.ucmerced.edu
马格德堡大学 ,,德国,,马格德堡,公立，男女合校,1946年*(1),无,"14,000*(4)",综合性大学，可授予博士学位,www.ovgu.de
新墨西哥州立大学 ,198,美国,新墨西哥州,拉斯克鲁塞斯,公立，男女合校,1888,无,"15,490",综合性大学,www.nmsu.edu
斯特林大学 ,51,英国,苏格兰,斯特林,公立，男女合校,1967年,无,"11,120",综合性大学,www.stir.ac.uk
蒙大拿州立大学 ,207,美国,蒙大拿州,波兹曼,公立，男女合校,1893,无,"15,653",综合性大学,www.montana.edu
北京科技大学 ,,,,,,,,,,
南京农业大学 ,,,,,,,,,,
东华大学 ,,,,,,,,,,
圣路易斯（密苏里州） ,,美国,密苏里州,,,,,,,
赫尔大学 ,63,英国,英格兰,金斯顿,公立，男女合校,1927年,无,"23,315",综合性大学,www.hull.ac.uk
阿肯色大学 ,USNEWS：133*(2),美国,阿肯色州,费耶特维尔,公立，男女合校*(3),1871,无,"26,754",全国性大学,www.uark.edu*(3)
重庆大学 ,,,,,,,,,,
北亚利桑那大学 ,RNP,美国,亚利桑那州,旗杆市,公立，男女合校,1899,无,"29,031",综合性大学,www.nau.edu
管理学 ,,,,,,,,,,
新英格兰大学 ,ERA：78*(1),澳大利亚,"新南威尔士州,*(2)",阿米代尔*(2),公立，男女合校*(2),1938年*(2),无,"22,389*(3)",二星级大学,www.une.edu.au *(3)
里海大学 ,USNEWS：46*(3),美国,宾夕法尼亚州,伯利恒,私立，男女合校*(4),1865,,"7,033",全国性大学,www.lehigh.edu
奥本大学 ,103*(2),美国,阿拉巴马州,奥本,公立，男女合校,1856年*(1),无,"27,287",全国性大学,www.auburn.edu
吕贝克大学 ,,德国,,吕贝克,公立，男女合校,1964年*(1),无,"3,473(2014年)*(1)",综合性大学，可授予博士学位,www.uni-luebeck.de
北京交通大学 ,,,,,,,,,,
丹佛大学 ,87*(2),美国,科罗拉多州,丹佛,私立，男女合校,1864,无,"11,797",全国性大学,www.du.edu
伦敦城市大学 ,43,英国,苏格兰,伦敦,公立，男女合校,1852年,无,"19,340",综合性大学,www.city.ac.uk
芝加哥洛约拉大学 ,USNEWS：103*(4),美国,伊利诺伊州,芝加哥,私立，男女合校*(5),1870,耶稣会,"16,437",全国性大学,"www.luc.edu, *(5)"
奥古斯塔（佐治亚州） ,,美国,佐治亚,,,,,,,
北伊利诺伊大学 ,RNP,美国,伊利诺伊州,迪卡尔布,公立，男女合校,1895,无,"20,130",综合性大学,www.niu.edu
布伦瑞克工业大学 ,,德国,,布伦瑞克,公立，男女合校,1745年*(1),无,"17,192(2014年)*(4)",综合性大学，可授予博士学位,www.tu-braunschweig.de
格赖夫斯瓦尔德大学 ,,德国,,格赖夫斯瓦尔德,公立，男女合校,1456年*(1),无,"11,449(2013年)*(4)",综合性大学，可授予博士学位,www.uni-greifswald.de
埃迪斯科文大学 ,ERA：29*(3),澳大利亚,西澳大利亚州,珀斯,公立，男女合校,1991年*(1),无,"约23,000*(4)",一星级大学,www.ecu.edu.au
北德克萨斯大学 ,RNP,美国,德克萨斯州,登顿,公立，男女合校,1890,无,"37,175",综合性大学,www.unt.edu
霍恩海姆大学 ,,德国,,霍恩海姆,公立，男女合校,1818年*(1),无,"9,628(2013年)*(4)",综合性大学，可授予博士学位,www.uni-hildesheim.de
西弗吉尼亚大学 ,187*(3),美国,西弗吉尼亚州,摩根敦,公立，男女合校,1867年*(1),无,"28,448",全国性大学,www.wvu.edu
欧道明大学 ,RNP*(3),美国,弗吉尼亚州,诺福克,公立，男女合校,1930年*(1),无,"24,672*(4)",全国性大学,www.odu.edu
蒙大拿大学 ,207*(2),美国,蒙大拿州,米苏拉,公立，男女合校,1893年*(1),无,"13,044",全国性大学,www.umt.edu
密苏里大学堪萨斯城分校 ,216,美国,密苏里州,堪萨斯城,公立，男女合校,1929,无,"16,699",综合性大学,www.umkc.edu
阿伯斯威大学 ,82,英国,威尔士,阿伯斯威,公立，男女合校,1872年,无,"11,705",综合性大学,www.aber.ac.uk
中国人民大学 ,,,,,,,,,,
班戈大学 ,56,英国,威尔士,班戈,公立，男女合校,1884年,无,"11,255",综合性大学,www.bangor.ac.uk
马里兰大学巴尔的摩郡分校 ,159*(2),美国,马里兰州,巴尔的摩,公立，男女合校,1966年*(1),无,"13,839",全国性大学,www.umbc.edu
维多利亚大学（澳洲） ,ERA：29*(4),澳大利亚,维多利亚州,墨尔本,公立，男女合校,1916年*(2),无,"48,922(其中高等教育26,743人，,职业教育,22,179人)*(4)(5)",一星级大学,www.vu.edu.au
赫特福德大学 ,96,英国,英格兰,哈特菲尔德,公立，男女合校,1953年,无,"27,230",综合性大学,www.herts.ac.uk
纽芬兰纪念大学 ,6,加拿大,纽芬兰与拉布拉多省,圣约翰,公立，男女合校,1925年,无,"18,913",综合类大学,www.mun.ca
犹他州立大学 ,216,美国,犹他州,洛根,公立，男女合校,1888,无,"28,622",综合性大学,www.usu.edu
